Delivery_Distance_km,Weather_Condition,Traffic_Level,Order_Size,Delivery_Partner_Rating,Restaurant_Preparation_Time_min,Peak_Hour,Day_of_Week,Order_Value_INR,Delivery_Status
15.3,Sunny,High,Large,3.4,15.5,No,Thursday,1108.55,Delayed
14.4,Sunny,Medium,Small,4.7,21.7,No,Tuesday,2285.02,On Time
4.8,Sunny,Medium,Small,2.3,27.4,Yes,Sunday,1245.97,On Time
4.7,Rainy,Medium,Small,4.5,16.3,Yes,Friday,1689.82,Delayed
17.7,Sunny,Low,Small,4.8,41.1,Yes,Saturday,1107.73,Delayed
8.7,Rainy,Medium,Small,4.1,44.6,Yes,Monday,319.54,Delayed
17.6,Sunny,High,Small,2.1,40.5,Yes,Friday,1734.3,On Time
14.3,Cloudy,Medium,Medium,1.7,39.6,No,Saturday,1181.71,Delayed
10.3,Sunny,High,Small,4.3,15.3,Yes,Tuesday,610.73,On Time
23.2,Cloudy,Medium,Medium,4.2,14.1,Yes,Sunday,107.3,Delayed
21.2,Sunny,Medium,Large,3.8,18.2,No,Sunday,1709.02,On Time
9.6,Sunny,Low,Small,3.2,25.2,No,Thursday,101.12,On Time
2.0,Sunny,Low,Small,3.2,13.9,Yes,Monday,2339.33,On Time
8.3,Sunny,High,Medium,1.9,28.9,No,Thursday,1142.81,On Time
10.6,Sunny,Low,Medium,1.5,16.3,Yes,Sunday,2233.37,On Time
17.9,Sunny,High,Large,2.0,36.0,No,Sunday,190.17,Delayed
24.9,Cloudy,Medium,Medium,2.0,18.3,Yes,Saturday,335.68,Delayed
9.5,Sunny,Medium,Small,4.8,17.7,No,Friday,1073.6,On Time
19.3,Sunny,Medium,Small,2.9,19.5,No,Saturday,1066.31,Delayed
15.2,Sunny,High,Medium,5.0,25.2,No,Sunday,1166.94,Delayed
17.6,Sunny,Medium,Small,1.5,9.7,No,Friday,1518.07,On Time
4.6,Sunny,Medium,Medium,3.6,40.7,No,Wednesday,1737.69,On Time
10.6,Sunny,Medium,Large,2.9,13.0,No,Saturday,2148.71,On Time
6.8,Rainy,High,Medium,2.2,6.4,No,Wednesday,860.26,Delayed
9.2,Sunny,High,Medium,3.8,26.7,No,Monday,1332.51,Delayed
13.3,Sunny,Medium,Small,1.4,22.8,No,Wednesday,1637.83,Delayed
17.0,Cloudy,Low,Medium,1.0,10.0,No,Sunday,1529.63,Delayed
3.5,Sunny,Low,Small,1.6,13.0,Yes,Tuesday,1166.04,On Time
4.1,Sunny,High,Small,2.2,25.2,Yes,Wednesday,748.57,Delayed
8.7,Sunny,Medium,Large,4.7,44.9,No,Wednesday,2313.31,Delayed
16.9,Sunny,High,Medium,3.8,8.3,Yes,Wednesday,2250.53,Delayed
21.3,Sunny,Medium,Small,3.0,6.3,No,Tuesday,173.71,Delayed
14.3,Rainy,Medium,Medium,3.4,32.3,Yes,Thursday,519.18,Delayed
21.5,Stormy,Medium,Large,2.9,41.0,No,Sunday,1655.22,Delayed
10.2,Rainy,Medium,Small,1.3,13.6,No,Saturday,732.95,On Time
8.6,Sunny,Medium,Medium,4.7,26.8,No,Monday,1899.8,On Time
9.5,Cloudy,Medium,Large,3.1,17.2,No,Sunday,1529.53,On Time
5.1,Rainy,Medium,Large,3.4,27.2,No,Thursday,2373.54,On Time
20.9,Sunny,High,Medium,3.8,5.4,Yes,Wednesday,420.34,Delayed
9.1,Sunny,Low,Medium,4.8,17.7,No,Wednesday,1800.25,On Time
14.3,Sunny,Low,Small,2.5,15.7,No,Friday,245.4,On Time
14.9,Cloudy,Low,Medium,3.4,15.0,Yes,Sunday,2266.59,Delayed
13.5,Sunny,Medium,Small,4.3,14.8,No,Sunday,741.7,On Time
1.1,Stormy,High,Small,4.7,42.4,No,Friday,178.1,On Time
24.7,Sunny,High,Medium,4.0,31.9,No,Sunday,2090.18,Delayed
22.7,Sunny,Low,Large,1.8,21.4,No,Friday,2253.63,Delayed
6.0,Sunny,Medium,Large,3.4,29.9,No,Sunday,1155.09,On Time
8.0,Sunny,Medium,Small,1.1,33.7,No,Sunday,792.79,Delayed
13.5,Cloudy,Medium,Large,2.7,30.9,Yes,Saturday,2194.15,Delayed
22.6,Rainy,Medium,Medium,2.0,39.5,No,Sunday,1564.69,Delayed
24.6,Sunny,Medium,Small,2.9,26.7,No,Thursday,2115.95,On Time
7.2,Cloudy,Medium,Medium,2.7,11.4,Yes,Tuesday,124.68,On Time
14.5,Cloudy,Low,Small,4.3,42.4,No,Monday,1804.34,On Time
20.4,Sunny,High,Medium,4.5,32.3,Yes,Friday,2293.61,On Time
10.5,Sunny,Medium,Small,2.4,37.1,No,Friday,2089.97,On Time
18.5,Sunny,Low,Small,3.9,23.2,Yes,Saturday,1281.15,Delayed
4.9,Rainy,Low,Small,4.0,19.8,No,Saturday,432.32,On Time
15.4,Sunny,Medium,Small,3.2,39.8,No,Wednesday,2230.43,Delayed
21.8,Cloudy,Medium,Small,3.2,15.6,No,Sunday,1302.01,On Time
24.6,Cloudy,High,Medium,2.2,28.5,No,Thursday,1587.09,Delayed
2.9,Cloudy,Low,Large,4.7,33.7,No,Thursday,1664.82,On Time
11.3,Cloudy,High,Medium,1.0,25.0,No,Tuesday,1639.03,Delayed
5.9,Cloudy,Low,Small,4.4,10.8,No,Wednesday,1963.04,On Time
11.8,Cloudy,Low,Large,1.4,6.5,Yes,Monday,1193.87,On Time
14.1,Rainy,Low,Small,1.4,26.8,No,Saturday,2023.28,Delayed
3.2,Sunny,Medium,Medium,4.1,14.8,Yes,Friday,797.1,On Time
8.1,Rainy,Medium,Small,3.6,34.8,Yes,Sunday,1815.11,On Time
23.3,Cloudy,Low,Small,3.5,38.8,No,Friday,2299.21,On Time
14.7,Cloudy,Medium,Medium,3.5,35.8,Yes,Thursday,641.01,Delayed
12.0,Cloudy,Medium,Medium,4.9,22.7,No,Tuesday,1573.94,On Time
19.1,Sunny,Medium,Small,4.6,7.1,Yes,Thursday,1264.5,Delayed
18.8,Cloudy,Low,Small,1.3,39.6,No,Thursday,934.19,Delayed
2.2,Sunny,Medium,Medium,2.2,22.1,No,Sunday,400.13,On Time
18.0,Sunny,High,Small,4.9,21.0,No,Saturday,1540.62,Delayed
21.1,Cloudy,Medium,Medium,4.7,24.5,No,Friday,470.06,Delayed
5.0,Rainy,High,Small,2.9,42.9,Yes,Saturday,2225.11,Delayed
19.7,Cloudy,Low,Large,3.7,34.0,No,Thursday,905.44,On Time
7.9,Sunny,High,Small,3.7,25.9,No,Thursday,1284.98,On Time
8.4,Cloudy,Medium,Medium,3.4,24.3,Yes,Wednesday,1159.61,On Time
17.0,Rainy,High,Medium,4.6,12.6,No,Friday,945.72,On Time
3.7,Cloudy,Medium,Medium,4.2,32.7,No,Saturday,919.65,On Time
17.0,Rainy,Medium,Small,1.1,27.2,Yes,Saturday,1151.51,Delayed
22.3,Rainy,Medium,Small,1.3,35.2,No,Wednesday,565.17,Delayed
17.7,Sunny,Low,Medium,4.9,11.8,No,Thursday,2095.94,On Time
11.6,Rainy,High,Small,2.9,17.6,Yes,Tuesday,1727.55,Delayed
11.5,Rainy,High,Small,1.3,30.6,Yes,Wednesday,878.45,Delayed
19.4,Sunny,Low,Small,4.3,18.2,No,Monday,2109.07,On Time
14.6,Sunny,Medium,Small,4.2,38.6,No,Wednesday,1676.09,On Time
3.0,Sunny,Medium,Small,2.4,31.4,No,Friday,464.08,On Time
15.0,Cloudy,Medium,Large,3.4,8.3,No,Friday,2364.13,On Time
20.6,Rainy,Medium,Large,2.4,33.1,Yes,Monday,734.14,Delayed
9.1,Sunny,Medium,Large,3.8,8.0,No,Wednesday,678.1,On Time
23.3,Cloudy,Medium,Medium,3.0,38.9,No,Monday,1190.19,Delayed
19.0,Cloudy,Low,Large,3.2,28.5,No,Thursday,2476.89,On Time
14.8,Rainy,Medium,Medium,2.7,5.7,Yes,Thursday,978.43,Delayed
19.0,Cloudy,Medium,Small,3.3,43.1,No,Friday,721.72,On Time
2.9,Cloudy,High,Large,1.3,16.3,No,Thursday,738.83,Delayed
21.6,Sunny,Medium,Medium,2.3,34.6,Yes,Friday,1503.73,Delayed
20.7,Sunny,High,Small,4.7,39.7,Yes,Thursday,1120.38,Delayed
22.8,Sunny,High,Medium,4.1,11.4,Yes,Friday,1001.35,Delayed
4.1,Sunny,High,Small,4.3,8.8,Yes,Saturday,2043.43,Delayed
3.0,Rainy,High,Small,4.8,17.2,No,Saturday,1135.23,Delayed
4.3,Sunny,Low,Medium,2.7,31.0,Yes,Sunday,416.66,On Time
10.6,Sunny,Low,Small,2.6,21.8,Yes,Sunday,2254.75,Delayed
11.2,Sunny,Medium,Small,1.4,18.1,Yes,Wednesday,596.99,On Time
14.5,Sunny,Medium,Small,1.6,22.1,No,Thursday,1507.12,Delayed
3.9,Sunny,Low,Small,2.6,8.8,No,Saturday,2482.05,Delayed
5.8,Rainy,Low,Medium,4.2,16.1,No,Friday,1348.47,On Time
20.5,Cloudy,Medium,Small,2.9,14.2,Yes,Wednesday,793.78,On Time
12.2,Cloudy,Medium,Medium,2.4,22.6,No,Thursday,583.89,On Time
20.4,Rainy,Low,Medium,2.7,43.6,No,Thursday,515.21,Delayed
1.2,Cloudy,Low,Large,2.5,42.1,Yes,Tuesday,2386.58,Delayed
14.2,Sunny,High,Small,2.5,29.8,No,Thursday,1462.23,Delayed
23.4,Sunny,Medium,Small,1.8,36.8,Yes,Thursday,2417.45,Delayed
15.0,Sunny,Medium,Large,4.2,32.5,Yes,Thursday,2366.99,On Time
5.9,Rainy,High,Large,3.4,9.1,Yes,Friday,1001.56,Delayed
18.2,Sunny,High,Small,3.3,36.9,No,Thursday,2186.03,Delayed
10.1,Cloudy,Medium,Small,2.7,44.3,Yes,Monday,1688.63,On Time
17.0,Sunny,Low,Small,1.1,20.2,No,Monday,958.99,On Time
1.7,Sunny,High,Medium,3.3,12.3,No,Sunday,1069.51,On Time
16.3,Sunny,Medium,Small,4.5,42.8,Yes,Monday,1447.24,On Time
1.8,Sunny,Low,Small,4.5,10.3,No,Tuesday,1948.92,On Time
18.9,Cloudy,Medium,Large,3.6,31.0,Yes,Sunday,1928.58,Delayed
12.3,Sunny,Low,Small,2.7,17.7,No,Tuesday,1641.78,On Time
3.9,Sunny,Medium,Small,2.6,26.0,No,Sunday,592.56,On Time
14.0,Rainy,Medium,Large,3.4,41.3,Yes,Thursday,592.72,Delayed
2.6,Sunny,Medium,Small,1.7,22.6,No,Thursday,1941.83,On Time
16.7,Cloudy,High,Small,1.2,18.3,Yes,Saturday,871.71,Delayed
24.9,Sunny,Medium,Small,3.9,28.9,No,Thursday,249.24,On Time
19.5,Sunny,Low,Medium,4.7,16.6,No,Sunday,1021.16,On Time
14.8,Sunny,Medium,Small,1.5,16.8,No,Saturday,2025.74,Delayed
3.5,Rainy,Low,Large,2.2,27.6,Yes,Sunday,1414.04,Delayed
17.8,Cloudy,Low,Large,3.9,30.3,No,Thursday,1133.65,On Time
16.9,Rainy,Medium,Small,2.2,29.6,Yes,Thursday,801.62,Delayed
2.2,Cloudy,Medium,Large,1.5,28.7,Yes,Saturday,366.46,On Time
20.0,Cloudy,Low,Medium,3.6,32.7,Yes,Monday,1994.62,On Time
13.4,Sunny,Medium,Large,3.2,9.0,Yes,Sunday,1424.07,On Time
11.2,Cloudy,Low,Large,4.4,12.3,Yes,Sunday,2341.64,On Time
19.9,Cloudy,High,Small,2.3,43.0,No,Saturday,1664.6,Delayed
10.9,Sunny,Low,Small,4.6,18.7,No,Saturday,138.21,On Time
12.5,Cloudy,High,Medium,2.6,21.5,No,Friday,1549.24,Delayed
5.4,Sunny,Low,Large,4.8,35.3,No,Friday,1785.94,On Time
8.7,Sunny,Low,Large,1.1,23.9,No,Friday,280.31,On Time
21.3,Rainy,Medium,Medium,3.7,24.3,No,Sunday,579.93,On Time
5.5,Sunny,High,Small,3.3,13.3,No,Wednesday,498.0,On Time
11.0,Cloudy,Low,Medium,3.0,15.5,No,Thursday,1704.27,On Time
24.7,Cloudy,High,Large,1.7,35.1,No,Friday,823.31,Delayed
6.7,Sunny,Medium,Small,4.3,16.0,No,Tuesday,1558.69,On Time
23.0,Cloudy,High,Small,2.1,23.3,No,Saturday,1876.77,Delayed
23.0,Sunny,Medium,Large,4.1,29.6,No,Monday,2209.68,On Time
3.2,Sunny,Low,Medium,2.1,15.2,Yes,Thursday,1302.96,On Time
12.1,Sunny,Medium,Medium,3.7,12.5,No,Saturday,2038.18,On Time
13.1,Sunny,Low,Small,2.9,22.3,Yes,Friday,1989.66,On Time
8.5,Rainy,Low,Small,3.1,35.7,Yes,Saturday,1026.79,Delayed
2.1,Stormy,Medium,Medium,4.0,39.5,Yes,Sunday,1802.7,Delayed
6.8,Sunny,Low,Large,5.0,18.5,Yes,Friday,613.3,On Time
3.3,Sunny,Medium,Medium,3.1,13.7,Yes,Monday,450.87,On Time
6.7,Cloudy,Low,Small,5.0,24.9,No,Sunday,641.77,On Time
20.4,Sunny,Medium,Small,1.2,32.7,No,Friday,1417.76,On Time
22.5,Sunny,Low,Small,4.3,24.5,No,Tuesday,1172.81,On Time
2.0,Sunny,High,Small,3.9,28.8,No,Monday,1023.35,On Time
8.2,Cloudy,High,Small,3.6,42.6,Yes,Tuesday,1943.96,Delayed
24.5,Cloudy,Medium,Small,2.8,38.4,No,Wednesday,585.58,Delayed
13.9,Stormy,Low,Medium,1.8,19.2,No,Saturday,2248.2,Delayed
16.0,Rainy,Low,Large,1.6,23.4,No,Monday,1944.29,On Time
1.1,Stormy,Low,Small,4.0,17.5,No,Monday,1240.28,On Time
12.6,Cloudy,Low,Medium,2.0,42.0,No,Saturday,789.56,Delayed
24.7,Sunny,Low,Small,4.9,23.7,Yes,Saturday,569.08,On Time
10.0,Rainy,Medium,Small,4.5,22.1,No,Sunday,1075.67,Delayed
3.3,Sunny,Medium,Large,4.7,14.0,No,Friday,1566.81,On Time
12.1,Sunny,Low,Large,5.0,22.4,Yes,Thursday,329.14,On Time
24.1,Sunny,Medium,Medium,2.4,38.3,Yes,Saturday,677.73,Delayed
9.2,Stormy,Low,Small,1.4,44.0,Yes,Thursday,2412.86,Delayed
20.2,Sunny,Medium,Large,1.3,14.0,Yes,Friday,1282.91,Delayed
20.2,Sunny,Medium,Small,4.8,38.7,Yes,Tuesday,604.12,On Time
6.0,Rainy,Low,Large,1.8,21.6,No,Saturday,1788.03,Delayed
11.6,Sunny,Low,Small,3.5,14.4,No,Saturday,2131.7,On Time
18.2,Cloudy,Medium,Small,4.9,39.7,No,Saturday,1301.55,On Time
10.9,Rainy,Medium,Small,1.8,7.6,No,Sunday,2286.73,Delayed
5.6,Sunny,High,Small,1.9,34.8,No,Tuesday,1506.94,Delayed
24.2,Sunny,High,Small,4.2,26.0,Yes,Friday,2140.23,Delayed
16.6,Sunny,High,Large,3.0,43.6,Yes,Friday,2444.3,Delayed
21.8,Cloudy,Low,Small,3.5,42.6,Yes,Friday,1797.76,Delayed
1.6,Sunny,High,Medium,1.9,30.3,Yes,Thursday,1961.04,On Time
7.4,Sunny,Low,Medium,2.2,29.8,No,Saturday,1020.36,On Time
13.0,Sunny,Low,Small,1.5,29.2,No,Sunday,1841.88,Delayed
2.6,Sunny,Low,Large,2.1,33.5,No,Monday,1423.3,On Time
24.8,Cloudy,High,Small,2.9,40.7,No,Friday,1368.67,Delayed
6.7,Rainy,Low,Medium,1.4,13.8,Yes,Saturday,1862.25,Delayed
10.0,Cloudy,Medium,Small,1.8,5.7,No,Sunday,1873.07,On Time
6.1,Cloudy,Medium,Large,3.2,41.7,Yes,Wednesday,1726.84,Delayed
3.5,Cloudy,Medium,Large,1.2,29.0,No,Wednesday,1545.7,On Time
6.6,Sunny,Medium,Small,3.1,8.1,Yes,Saturday,789.5,On Time
8.2,Cloudy,Low,Small,2.1,41.0,No,Friday,324.75,On Time
16.2,Sunny,Medium,Small,4.6,21.5,No,Friday,1799.35,On Time
7.7,Cloudy,Medium,Small,2.9,39.8,Yes,Tuesday,1034.05,Delayed
9.7,Cloudy,Low,Small,2.0,31.5,No,Wednesday,2438.33,On Time
1.1,Sunny,Low,Medium,3.5,8.1,Yes,Sunday,2313.13,On Time
9.8,Rainy,High,Large,3.4,20.4,No,Tuesday,1132.23,Delayed
13.8,Sunny,Medium,Small,4.8,7.6,No,Sunday,1172.97,On Time
4.9,Sunny,Low,Large,1.1,13.7,No,Saturday,114.55,On Time
15.3,Sunny,Medium,Medium,2.0,39.3,No,Monday,409.59,Delayed
8.0,Sunny,Medium,Medium,1.3,36.5,Yes,Sunday,475.87,On Time
16.2,Sunny,Low,Medium,2.4,30.2,No,Sunday,2430.18,On Time
1.6,Sunny,Low,Small,3.3,16.8,No,Friday,1182.67,On Time
22.3,Cloudy,Low,Medium,1.6,39.8,No,Monday,1498.36,Delayed
1.4,Sunny,Medium,Medium,1.8,44.6,Yes,Friday,2143.42,On Time
4.0,Rainy,Medium,Small,1.8,6.1,No,Saturday,979.86,On Time
19.7,Sunny,Low,Small,3.5,28.3,Yes,Thursday,2475.84,Delayed
2.1,Sunny,Medium,Small,2.1,29.7,No,Saturday,852.41,On Time
18.1,Sunny,Low,Medium,1.7,11.7,No,Sunday,324.44,On Time
24.3,Cloudy,Medium,Medium,1.1,36.8,No,Tuesday,2076.69,Delayed
21.9,Stormy,High,Large,1.8,40.5,No,Friday,1424.71,Delayed
18.0,Rainy,Medium,Large,4.9,9.9,No,Thursday,806.15,On Time
24.0,Sunny,Low,Medium,4.0,37.6,Yes,Monday,2383.45,Delayed
11.3,Sunny,Medium,Medium,1.9,38.2,No,Saturday,1036.59,On Time
21.9,Sunny,Low,Small,2.5,39.1,Yes,Sunday,1160.18,Delayed
9.5,Cloudy,Medium,Small,4.2,23.2,No,Monday,1545.39,On Time
23.3,Cloudy,Medium,Large,3.5,31.9,No,Friday,1031.99,On Time
4.6,Sunny,High,Small,3.4,24.7,No,Sunday,2246.73,On Time
23.6,Sunny,Low,Small,4.2,25.2,No,Friday,1580.52,Delayed
21.0,Stormy,Medium,Small,3.3,22.7,No,Wednesday,313.99,On Time
21.3,Cloudy,Low,Large,3.3,8.1,No,Tuesday,152.94,Delayed
4.0,Cloudy,Medium,Small,2.9,11.5,Yes,Wednesday,1164.92,On Time
15.3,Cloudy,Medium,Small,2.5,41.6,No,Friday,2300.14,Delayed
1.4,Cloudy,Medium,Medium,4.3,25.4,Yes,Thursday,1314.62,On Time
18.3,Cloudy,Low,Small,2.4,31.0,No,Saturday,1205.32,On Time
1.2,Sunny,Medium,Large,1.1,37.8,Yes,Wednesday,1000.56,On Time
3.0,Rainy,Medium,Large,2.4,39.9,Yes,Sunday,1488.01,Delayed
6.4,Sunny,Low,Small,4.6,27.7,Yes,Saturday,258.67,On Time
22.0,Sunny,Medium,Small,1.9,18.7,No,Saturday,1046.11,Delayed
9.7,Stormy,High,Small,1.8,25.1,Yes,Saturday,2172.14,Delayed
14.0,Cloudy,Medium,Medium,3.2,44.4,No,Friday,901.63,On Time
14.6,Sunny,Medium,Small,3.4,27.8,No,Sunday,1554.79,Delayed
6.4,Sunny,Low,Small,2.3,31.7,No,Wednesday,2003.11,On Time
14.7,Sunny,Low,Small,1.6,43.8,No,Saturday,1391.17,Delayed
16.9,Sunny,Medium,Small,1.4,42.8,Yes,Tuesday,1614.06,Delayed
8.2,Sunny,Low,Small,3.2,44.7,Yes,Friday,2456.28,On Time
11.0,Rainy,Medium,Small,1.5,22.8,No,Tuesday,1558.07,On Time
11.9,Sunny,Medium,Small,1.1,7.1,No,Saturday,591.37,Delayed
23.4,Cloudy,Medium,Medium,4.1,15.3,No,Friday,2067.84,Delayed
15.1,Cloudy,Low,Small,1.6,16.3,No,Wednesday,2275.54,Delayed
23.8,Sunny,Medium,Small,2.6,8.3,No,Sunday,778.52,Delayed
14.3,Sunny,Medium,Small,4.3,26.4,Yes,Wednesday,319.07,Delayed
13.0,Sunny,Medium,Small,3.2,8.2,Yes,Saturday,2173.52,Delayed
1.1,Sunny,High,Large,2.6,30.3,Yes,Friday,2083.98,On Time
12.5,Sunny,Low,Small,2.9,7.9,No,Friday,661.83,On Time
23.3,Sunny,Medium,Small,3.3,44.7,Yes,Tuesday,246.12,On Time
5.8,Sunny,Medium,Large,4.5,27.7,Yes,Sunday,589.97,On Time
2.3,Cloudy,Medium,Medium,3.8,26.7,No,Monday,2499.55,On Time
10.8,Cloudy,High,Small,4.0,24.3,No,Tuesday,1969.5,On Time
9.9,Rainy,Medium,Small,1.9,33.9,Yes,Sunday,695.91,Delayed
21.6,Cloudy,Medium,Medium,1.5,36.2,Yes,Saturday,854.02,Delayed
1.6,Sunny,High,Small,4.3,38.8,No,Sunday,1977.72,On Time
23.1,Rainy,Low,Small,4.4,36.8,Yes,Monday,1934.09,Delayed
17.3,Cloudy,Low,Small,4.3,14.9,Yes,Tuesday,242.74,On Time
22.7,Sunny,High,Large,4.6,33.9,No,Thursday,921.97,Delayed
15.6,Sunny,Medium,Medium,1.3,15.1,No,Thursday,1502.04,On Time
20.5,Sunny,Medium,Medium,4.3,5.2,Yes,Wednesday,2300.6,On Time
9.1,Sunny,Low,Medium,4.7,13.2,No,Saturday,2332.05,On Time
9.4,Rainy,Low,Small,3.0,22.8,No,Friday,2102.5,On Time
10.4,Sunny,High,Small,2.8,29.9,Yes,Tuesday,2453.63,Delayed
19.1,Sunny,Low,Small,2.7,38.9,No,Saturday,276.1,Delayed
9.9,Sunny,Low,Medium,3.9,32.8,Yes,Friday,2207.17,On Time
