Current_CGPA,Attendance_Percentage,Weekly_Self_Study_Hours,Coding_Practice_Hours_Per_Week,Previous_Semester_SPI,Internal_Assessment_Marks,Practical_Assignment_Submission,Target_Grade,Additional_Study_Hours_Required
8.57,52.6,8.9,22.4,8.72,26.7,68.5,O,46.6
8.8,91.7,20.5,16.0,8.64,10.7,26.6,B+,3.2
7.81,55.9,46.6,14.0,7.05,6.2,66.7,A,23.5
8.85,52.3,45.5,20.7,8.16,13.7,92.4,B+,1.3
7.47,71.9,21.1,17.2,7.88,6.2,91.8,B,0.0
7.61,92.2,32.4,10.6,7.11,15.0,72.0,A,21.1
7.14,63.1,39.6,19.6,7.99,27.1,4.8,A+,27.0
5.13,71.1,13.3,23.4,9.74,18.5,87.2,A+,37.9
5.54,52.0,9.2,0.9,5.96,25.7,65.8,A+,58.3
5.16,72.5,53.5,16.3,9.53,5.0,31.0,B,0.0
8.18,78.9,34.0,2.0,5.27,27.0,18.7,A+,44.2
6.57,78.5,54.0,6.5,6.54,18.1,11.6,A,26.5
7.54,66.6,18.6,19.6,6.44,1.0,5.0,A,34.1
9.54,65.8,38.7,30.3,8.13,19.0,75.4,B,0.0
6.25,55.3,12.2,30.9,5.66,28.5,23.6,A,30.7
7.05,68.3,14.4,2.4,9.41,2.4,2.4,C,0.0
8.78,55.0,28.2,14.7,9.14,17.5,39.7,B+,0.0
6.14,88.3,17.6,20.4,8.26,27.5,48.3,B,0.0
5.38,98.3,9.2,5.1,7.29,0.3,16.9,O,79.2
6.45,98.5,14.5,26.8,9.66,18.9,4.4,A+,34.4
5.81,93.3,2.0,26.0,9.15,14.2,18.9,A+,46.5
9.65,80.0,38.7,31.6,7.5,10.4,67.9,A,6.9
9.04,85.0,27.1,0.3,8.51,18.8,8.2,B+,3.5
8.17,64.3,5.2,7.6,7.83,1.6,55.5,A+,54.6
9.36,81.5,9.4,29.0,7.94,22.6,14.6,A+,31.7
9.02,72.8,5.6,23.5,6.65,0.1,19.6,B+,17.3
5.93,74.1,33.7,31.3,7.31,9.2,39.3,A+,41.4
9.46,87.9,5.2,2.0,5.39,15.1,10.1,A,38.5
7.7,64.1,41.5,20.9,6.79,11.3,17.3,O,43.7
9.04,65.9,1.1,19.9,8.48,9.2,34.9,B+,17.3
9.48,96.2,13.7,1.2,9.77,24.9,33.0,A,17.3
6.59,52.8,49.0,18.0,9.82,28.0,74.9,B+,0.0
5.55,74.3,39.5,21.3,7.78,26.2,7.5,A+,34.1
6.14,95.6,4.0,6.7,8.03,15.7,86.0,A+,46.0
7.14,80.5,45.2,9.6,5.93,26.5,81.6,B,0.0
9.09,77.3,27.1,22.4,8.48,27.6,76.6,B+,0.0
9.3,62.5,46.6,16.4,5.35,12.3,30.9,B+,0.2
5.03,67.2,33.0,30.0,6.42,8.5,82.3,B+,16.2
7.55,92.6,37.5,12.0,8.34,2.9,18.3,O,55.1
7.09,78.0,54.6,9.3,6.55,14.4,12.4,B,0.0
6.11,75.7,12.8,34.5,5.25,28.4,4.5,B+,7.7
5.6,55.0,34.3,31.9,9.16,16.8,93.9,B+,0.0
6.69,50.8,25.3,1.0,6.55,20.0,30.8,B,6.5
9.71,98.2,2.2,27.0,5.32,3.4,91.8,A+,43.2
6.62,68.8,0.8,3.9,5.37,4.3,27.3,B+,33.5
7.59,80.2,6.6,1.0,6.26,13.9,90.8,C,0.0
8.52,54.0,35.7,9.6,5.89,28.5,90.4,A,18.9
6.82,84.2,31.2,9.4,8.87,10.8,92.4,O,56.8
9.86,96.6,30.4,28.7,6.61,26.3,49.6,B+,0.0
9.81,78.8,1.8,24.9,9.02,3.6,86.6,O,52.0
6.26,56.3,25.8,34.4,5.87,18.5,95.1,B,0.0
7.49,79.1,50.9,24.9,7.46,18.0,32.5,O,34.2
6.5,88.3,21.9,14.6,8.44,25.8,41.9,B+,5.6
6.42,70.3,34.4,24.5,8.26,0.1,71.9,A,27.3
5.18,94.0,42.9,35.0,8.01,5.7,30.0,A+,34.9
8.05,82.4,43.1,24.9,9.62,6.6,75.4,B,0.0
7.51,95.0,28.6,26.7,6.14,28.5,7.4,B+,0.0
5.26,81.2,47.2,32.8,7.47,4.6,52.3,A,14.3
6.39,56.6,21.5,4.0,9.42,1.1,12.2,A+,55.9
9.54,65.5,48.9,24.7,5.39,16.0,29.3,B+,0.0
6.2,60.1,13.2,29.8,5.28,15.9,25.9,B,11.7
5.72,95.4,15.4,33.4,6.17,25.3,83.9,B+,6.0
7.45,88.0,2.9,7.4,8.17,28.5,19.4,B+,18.1
9.93,83.8,43.8,17.6,6.3,16.2,80.8,A+,19.5
6.21,65.0,22.9,23.8,5.95,27.9,79.4,B,0.0
8.36,59.2,12.6,8.7,7.29,21.8,49.9,B+,16.1
8.81,87.8,12.7,21.0,8.07,7.9,23.4,A,22.8
6.19,73.7,49.6,9.0,6.24,27.9,22.7,A,22.5
8.64,61.3,45.9,11.7,6.5,20.0,46.5,B+,2.8
6.84,80.8,30.4,15.5,8.07,12.4,0.9,B,0.0
8.16,52.0,33.9,18.5,9.73,20.4,53.1,B+,2.9
8.17,66.3,26.1,15.7,8.37,12.0,95.3,B,0.0
7.68,73.4,21.5,17.3,8.91,3.4,15.5,A,32.4
5.45,57.4,50.4,10.5,6.83,21.6,57.3,B+,4.0
9.18,99.2,6.9,5.6,6.36,24.7,96.2,B,0.0
6.6,60.5,23.0,1.7,7.27,21.9,86.1,A+,58.5
5.93,56.5,19.0,6.9,9.04,6.9,85.0,A,37.5
5.2,60.2,27.4,20.4,7.28,28.7,82.2,B+,11.0
7.95,88.5,25.2,27.5,9.23,0.8,30.9,B,0.0
8.39,71.3,28.5,5.9,9.94,10.0,89.1,O,52.4
5.08,78.3,7.7,3.8,5.36,7.8,94.1,A+,68.2
7.56,51.1,28.2,26.2,5.23,1.4,49.6,A+,45.2
6.13,51.7,13.3,10.7,5.75,12.2,35.5,A,46.1
8.23,72.3,10.1,33.3,6.92,18.7,41.4,A+,30.8
5.87,90.8,3.6,25.0,5.66,26.5,33.4,B+,17.5
8.45,94.3,41.9,11.4,9.35,29.7,21.2,B,0.0
6.93,54.3,23.5,10.1,5.12,24.2,61.8,B+,20.6
9.68,76.9,34.5,18.3,6.58,14.1,56.3,A+,26.4
5.69,95.7,40.0,2.8,5.92,21.7,46.3,B,0.0
6.71,69.4,37.4,4.1,9.66,25.3,9.6,B+,6.9
5.57,91.5,25.9,6.2,8.35,14.0,79.7,A+,45.7
9.62,56.7,21.3,27.1,9.56,23.6,17.5,A,10.1
9.39,96.8,20.7,18.0,9.86,14.5,11.5,B+,0.0
6.29,87.6,35.2,0.4,7.49,11.6,62.3,B+,13.5
8.3,97.1,27.2,23.6,6.17,15.8,39.9,B+,2.8
9.09,83.8,46.7,14.8,5.97,20.3,6.0,A+,28.0
7.78,68.2,48.1,17.9,6.11,21.8,35.6,B,0.0
7.65,96.9,9.4,7.5,8.54,10.7,77.2,A,33.8
6.21,63.8,7.5,19.3,5.2,17.1,61.5,B+,20.1
5.47,66.6,34.7,34.3,5.26,27.3,36.3,B+,9.0
9.49,85.0,16.6,2.6,8.04,29.3,19.2,A+,39.1
9.5,88.3,1.0,9.9,8.21,6.8,63.2,A+,38.8
8.17,96.5,48.9,8.5,8.33,5.8,88.8,A+,30.4
6.7,60.2,12.5,8.7,6.86,20.3,64.6,A+,55.8
6.75,89.9,51.1,13.3,9.03,12.4,81.3,A+,22.9
8.63,86.9,39.5,28.6,7.67,0.7,52.2,B+,0.0
9.49,53.2,41.9,32.0,5.53,10.4,71.8,B+,0.0
9.44,69.4,11.1,7.1,8.99,24.2,89.6,B+,6.8
8.9,64.1,12.9,19.0,9.77,23.9,77.3,B+,0.0
8.21,65.2,28.7,22.3,5.3,14.8,91.0,B,0.0
5.42,99.1,9.5,18.3,6.96,14.2,43.1,B,0.0
5.81,82.1,16.8,15.2,7.44,17.4,90.4,A+,50.8
9.49,85.9,17.7,6.7,5.73,6.6,62.2,B+,18.1
8.03,98.8,8.8,17.1,9.34,15.8,87.0,O,46.0
5.05,68.9,11.3,14.0,6.42,0.3,3.9,A+,70.1
5.51,90.1,43.4,27.8,8.92,14.3,65.8,B+,0.0
8.32,71.7,9.2,26.7,8.35,10.1,84.8,A,21.9
5.03,93.5,1.6,4.7,7.99,20.2,17.4,B+,29.9
5.8,59.0,34.6,3.1,5.96,19.2,66.2,A,38.0
7.74,97.4,53.7,31.8,6.1,11.4,82.5,A+,16.1
8.46,60.9,18.2,18.7,5.24,0.2,28.8,B,5.5
8.26,66.3,6.5,30.0,6.2,7.6,40.5,O,61.0
6.12,87.8,31.4,2.0,6.73,19.0,57.0,A+,44.2
8.56,69.7,49.8,18.4,9.17,2.2,51.9,A+,27.6
6.19,80.4,43.1,18.9,6.83,3.2,3.9,C,0.0
6.63,72.2,34.2,30.1,8.77,19.4,9.9,A,18.5
8.73,87.1,17.3,3.4,7.2,22.7,10.0,A,33.9
8.25,61.4,29.8,8.4,8.92,9.6,26.2,B+,9.6
9.25,52.9,5.0,14.2,9.88,14.7,24.6,B+,15.0
8.29,65.0,37.3,30.3,6.2,28.4,74.2,B,0.0
7.84,73.7,39.9,32.9,9.31,28.4,57.3,A,0.0
5.47,58.4,53.1,34.7,8.11,9.2,76.4,C,0.0
6.84,67.7,14.3,33.6,9.09,24.3,7.0,B+,3.4
6.33,70.0,1.0,0.2,8.26,17.8,48.5,A,37.0
6.22,52.9,30.0,1.7,7.12,29.3,32.4,A,36.3
9.87,79.2,38.9,5.2,6.14,14.3,85.0,B,0.0
6.97,94.2,43.5,12.2,5.35,23.2,70.8,B+,8.3
9.46,57.6,10.7,29.0,7.68,23.0,86.9,B+,1.6
8.16,79.9,14.4,31.2,9.95,14.9,4.6,B+,0.0
8.97,83.2,28.2,6.5,8.69,23.9,72.1,B+,0.0
7.51,71.0,18.2,21.7,6.64,7.8,54.0,A+,51.1
7.88,85.1,47.3,32.1,9.14,3.7,82.5,A,12.4
7.46,70.5,26.1,16.2,8.84,12.8,50.7,B+,6.2
5.98,75.2,44.0,3.6,6.41,28.3,54.0,O,60.0
8.61,50.4,31.9,16.0,5.07,15.0,5.2,A,27.2
6.4,84.6,42.5,13.2,5.59,19.1,66.9,B+,6.5
5.12,83.1,18.3,20.2,9.39,18.7,27.3,A+,40.8
8.23,51.9,45.7,15.4,9.18,4.0,2.0,O,53.0
5.89,68.4,15.1,0.6,6.48,11.7,6.6,B,14.8
9.7,99.0,30.0,34.8,6.43,21.2,95.7,B+,0.0
9.77,71.0,11.8,19.0,8.96,29.2,34.6,A+,31.4
9.57,75.1,26.2,16.6,9.69,5.0,86.8,B,0.0
6.85,95.5,17.5,33.4,8.9,12.3,96.0,B+,0.0
5.08,85.9,14.7,5.5,8.03,2.9,94.3,A,45.6
9.64,79.1,53.2,6.6,6.21,7.3,88.2,A,2.8
7.14,89.9,8.8,28.3,7.63,11.3,89.5,A+,40.1
9.83,93.2,43.3,9.1,6.17,16.2,28.9,B,0.0
9.82,72.8,54.1,28.0,9.04,6.9,15.1,A,0.0
9.27,73.8,1.1,9.5,6.93,6.8,63.9,B+,22.2
6.47,69.3,38.4,1.2,9.17,23.3,48.8,B,0.0
6.93,98.3,13.9,18.1,6.91,28.9,9.9,O,47.2
9.26,84.9,2.2,6.9,9.12,9.7,67.8,O,53.2
6.58,54.2,22.2,26.5,6.67,20.6,56.3,A+,49.7
5.85,93.1,51.4,22.4,7.2,7.7,86.3,O,45.1
7.78,74.0,0.6,32.3,8.08,27.8,60.9,B+,7.3
9.68,53.4,32.3,27.4,5.35,20.2,57.4,B+,4.1
8.48,77.5,27.6,6.3,9.74,24.1,44.1,A+,32.4
7.85,70.9,48.0,28.0,7.87,1.5,46.3,A+,32.7
5.49,93.9,4.6,22.5,7.54,18.0,95.4,A+,36.9
8.08,60.2,37.5,23.4,9.2,15.8,13.8,C,0.0
9.95,91.3,37.4,29.1,9.33,8.8,44.6,B+,0.0
5.7,77.9,36.8,20.1,7.61,7.9,65.6,B+,3.7
7.59,52.7,51.8,16.3,9.64,17.4,43.3,A,8.7
9.39,98.6,45.3,22.3,5.32,21.2,28.3,A,4.7
8.7,75.6,2.3,10.4,5.57,1.0,28.7,O,74.0
8.49,64.5,25.9,6.4,7.98,17.0,23.4,C,0.0
8.51,73.5,21.9,21.6,6.77,5.1,34.4,B+,12.0
6.8,92.9,17.1,8.2,7.32,4.2,87.2,B+,20.2
6.47,65.2,24.8,2.8,6.64,18.7,50.5,B+,23.5
9.05,59.6,21.1,0.0,7.02,9.3,24.0,A,32.1
9.05,56.5,23.8,21.3,9.11,13.2,38.5,A+,29.3
9.34,64.9,53.9,12.7,7.97,10.8,10.6,A+,27.3
9.57,89.0,4.9,26.3,9.99,19.5,90.4,A,8.2
7.56,73.6,50.7,13.1,8.93,14.1,40.8,O,38.8
7.51,61.4,26.4,17.0,6.37,28.9,98.0,O,54.9
8.99,58.3,34.3,14.2,6.32,10.6,34.8,B+,12.6
8.25,66.6,45.7,22.8,6.68,22.2,83.6,B,0.0
8.51,97.0,19.8,12.5,9.22,7.7,25.6,B,0.0
8.98,67.2,23.7,33.7,5.14,15.3,7.6,O,58.4
9.45,99.4,22.5,32.8,6.15,16.6,3.2,A+,27.6
6.69,74.3,20.6,29.7,9.52,9.9,60.6,B+,5.7
6.88,59.0,50.9,32.2,8.2,14.2,31.2,B,0.0
5.47,94.6,45.6,15.7,6.13,8.4,44.4,C,0.0
7.89,73.0,6.0,18.8,6.1,0.2,81.9,B,13.8
5.18,85.5,5.9,26.0,9.31,6.5,24.8,B+,19.5
7.33,99.2,23.5,24.4,9.47,21.0,30.9,A+,26.5
7.71,52.5,5.4,31.2,6.28,23.1,84.5,O,55.7
6.43,54.8,34.1,25.1,7.1,8.4,49.3,O,67.2
7.95,86.0,7.9,34.9,9.17,12.2,82.8,B+,0.0
5.15,64.1,28.7,12.2,8.86,1.1,37.4,O,64.5
5.19,59.2,0.4,29.2,9.07,7.1,39.8,B+,20.6
9.11,52.0,17.4,24.4,7.59,23.4,16.7,B+,7.6
6.8,51.1,37.2,24.2,9.56,18.2,91.6,O,37.6
5.64,88.7,26.6,11.4,6.63,6.2,89.7,B,6.4
7.61,56.7,53.8,27.5,5.78,7.7,98.4,A,11.7
8.85,73.4,48.1,31.5,8.54,24.5,40.2,B,0.0
6.08,80.3,19.7,7.6,7.7,6.3,81.9,B,2.7
8.11,71.4,2.5,21.9,9.27,10.0,41.5,A+,42.3
5.43,51.4,46.5,13.7,5.41,19.9,45.4,A,37.2
5.26,89.2,50.1,34.6,9.22,16.8,83.0,A+,23.1
7.66,50.5,45.1,16.8,6.47,13.8,17.7,B+,7.9
7.7,88.1,7.0,8.0,8.27,27.0,22.0,A,31.8
8.19,94.7,54.9,13.4,5.2,6.6,31.5,B,0.0
8.63,71.6,14.2,22.9,8.05,22.2,78.8,A+,25.6
9.88,76.8,39.8,2.7,8.59,4.8,37.3,B+,4.0
7.58,73.8,49.9,21.1,6.84,18.5,35.8,C,0.0
6.61,69.5,13.0,32.6,6.08,26.1,99.9,B+,10.0
8.98,94.4,50.0,29.8,7.69,13.7,38.4,O,33.7
6.35,94.7,17.0,2.4,9.17,21.7,24.8,B+,11.7
7.19,66.8,53.7,34.8,6.62,24.6,62.3,A+,19.5
5.39,80.8,15.5,24.5,6.26,4.1,80.2,O,67.3
5.13,96.3,52.4,5.7,6.39,21.2,7.0,A,30.0
9.81,98.1,2.9,0.4,9.75,27.6,61.9,A+,28.6
9.18,75.4,39.0,6.0,6.8,17.3,3.6,B+,8.8
8.48,72.6,29.3,29.3,5.02,5.6,52.6,A,17.9
7.04,63.9,26.3,0.8,8.91,3.8,25.7,B+,25.4
5.87,97.9,12.3,8.2,8.5,7.8,30.7,O,71.6
5.78,57.1,38.8,26.5,5.64,3.1,46.7,O,59.6
6.25,79.0,10.5,20.5,9.92,15.4,92.7,O,58.6
7.75,64.1,30.4,27.4,8.04,2.1,71.1,A+,29.1
8.57,64.0,13.9,26.1,7.5,6.7,93.7,A,27.5
8.3,70.2,52.6,1.8,6.91,13.2,66.0,B+,10.9
6.4,99.9,1.6,31.2,9.49,14.2,0.7,C,0.0
9.77,52.7,11.0,7.9,6.22,17.0,26.6,A,32.6
8.69,78.9,13.3,19.4,6.43,21.2,90.6,O,52.4
7.77,54.1,22.8,22.6,5.61,1.4,64.3,A+,46.6
8.06,57.7,12.8,5.9,8.8,2.4,98.2,B,15.2
7.1,72.0,27.0,34.2,7.98,1.8,15.6,B+,5.2
6.24,75.5,48.0,17.1,8.05,12.7,29.7,B+,10.2
6.78,62.9,39.2,2.0,6.09,1.3,36.2,A+,52.1
8.79,65.8,31.9,32.8,8.26,22.4,32.7,A+,27.9
5.07,54.3,4.9,20.5,8.83,6.7,25.2,A+,66.4
5.58,65.2,38.2,24.5,6.79,28.2,44.3,B,0.0
5.23,98.3,9.2,18.4,9.01,14.6,64.2,A+,46.2
5.2,97.2,43.3,29.2,6.74,13.4,31.1,B+,0.2
9.28,66.7,13.8,1.2,8.79,23.4,8.0,A,22.9
8.52,78.5,22.9,9.4,5.17,21.4,70.9,A,28.2
7.37,95.5,19.3,16.4,7.76,18.2,45.9,A+,43.3
5.49,50.3,47.2,2.7,9.85,28.1,55.6,B+,4.7
7.46,90.5,7.0,24.7,9.91,12.7,45.5,O,59.4
7.37,97.4,31.1,13.8,6.41,24.3,89.0,C,0.0
5.87,54.6,7.8,9.5,7.21,11.4,55.9,O,76.4
7.17,58.1,38.8,0.1,5.31,25.2,92.3,O,61.1
6.99,98.0,49.8,25.2,9.37,7.8,51.1,A,6.3
8.08,76.9,23.9,29.2,7.84,8.7,29.3,B,0.0
8.18,50.7,26.8,13.8,6.93,20.3,35.5,A+,38.9
5.23,62.9,51.0,19.7,5.56,6.4,52.2,A,31.2
6.87,72.5,28.7,8.0,9.73,6.9,53.0,O,57.0
8.13,84.6,26.8,21.8,7.65,9.2,68.7,O,51.1
7.52,86.7,31.8,0.4,6.41,20.4,22.4,B+,18.0
9.28,99.8,37.9,17.1,6.75,26.7,65.9,A+,19.5
8.29,64.4,5.9,22.5,6.35,20.2,77.9,B+,8.5
5.81,76.9,45.2,32.1,8.01,24.8,67.7,B+,0.0
5.35,76.7,24.0,13.3,9.65,16.3,48.2,B,0.0
8.21,70.3,4.0,26.8,9.28,2.1,99.2,A+,36.9
5.13,58.5,43.2,20.9,7.3,3.0,40.5,A,28.1
7.93,98.9,20.7,32.4,9.13,16.6,10.7,B,0.0
9.7,92.7,5.5,13.9,7.12,9.8,82.2,B+,14.9
7.88,74.9,34.9,11.2,6.26,6.6,21.2,A+,44.1
6.94,80.2,48.4,31.0,9.92,14.0,71.3,A,3.3
8.22,61.4,48.8,1.7,6.52,20.0,17.9,B,0.0
7.29,77.2,52.7,4.8,6.62,11.5,1.7,A,32.9
7.73,84.7,47.7,2.9,9.95,24.1,16.0,B,0.0
9.71,75.8,0.1,29.5,5.67,22.2,37.7,A,25.4
6.93,99.5,20.9,0.4,8.8,22.0,10.7,A+,44.9
9.81,80.6,45.0,30.2,9.68,29.6,19.8,A+,4.5
9.53,68.5,20.1,15.8,7.56,8.9,76.5,O,53.0
5.98,88.6,33.1,0.1,5.01,19.3,77.0,A+,53.8
5.35,58.5,33.3,14.1,6.88,25.7,81.7,B,0.4
5.5,69.2,20.1,6.5,5.56,17.4,84.1,B+,35.1
5.09,67.3,49.7,21.9,7.08,23.7,42.0,B+,5.0
5.47,71.6,27.7,23.8,8.95,12.4,86.8,B+,8.1
8.42,89.1,25.6,17.1,7.19,17.7,52.6,A,17.5
5.36,74.2,54.9,1.4,7.16,1.7,47.1,A+,51.3
6.59,89.7,27.1,23.0,7.78,29.6,71.9,B,0.0
9.22,78.8,9.8,29.5,7.91,24.0,21.4,A,14.3
5.12,67.1,28.2,25.2,9.28,26.1,78.9,A,18.1
9.07,90.5,44.8,29.0,6.54,20.8,42.9,C,0.0
6.41,61.9,42.7,7.0,9.11,5.6,12.7,A,27.1
5.59,61.2,43.4,31.1,7.83,0.9,11.9,B,0.0
8.48,75.2,38.9,11.3,6.5,25.9,16.5,B,0.0
8.14,63.0,14.0,0.5,6.48,11.9,89.1,A+,55.8
9.39,50.5,47.4,29.5,6.81,7.9,99.1,O,38.7
8.68,82.4,49.1,33.0,8.11,16.9,35.7,C,0.0
9.02,75.6,10.7,22.9,6.15,12.6,29.2,A,33.2
6.41,72.3,7.2,8.1,9.6,19.5,21.9,O,64.0
5.89,98.3,53.7,8.8,7.87,14.5,82.4,A,19.2
8.75,78.6,47.8,16.3,9.6,20.9,20.9,B+,0.0
9.03,93.2,49.1,31.4,5.23,25.6,92.4,B+,0.0
9.95,57.0,48.8,5.2,6.71,5.9,66.7,B,0.0
7.06,78.5,29.8,28.9,5.11,9.9,89.7,B,0.0
6.86,93.4,35.6,10.2,6.36,13.1,55.4,B,0.0
8.88,79.2,30.0,28.3,9.31,28.9,69.1,O,36.0
6.7,85.9,2.8,32.2,5.18,11.0,61.9,B+,14.9
9.65,68.6,41.0,15.0,7.18,11.4,83.1,A+,19.4
9.29,54.6,27.8,12.8,5.59,19.6,83.6,A+,44.3
7.14,72.9,35.6,28.1,7.08,12.6,59.0,B,0.0
8.75,69.7,27.6,18.5,9.19,28.5,63.3,A,8.5
